name,director,year,country,language,distributor,date,format,rating,notes
The Punk Singer,Sini Anderson,2013,USA,English,Sundance Selects,01/09/14,Theater,5,
The Fighter,David O. Russel,2010,USA,English,Paramount Pictures,12/26/13,Streaming,8,
The Untouchables,Brian De Palma,1987,USA,English,Paramount Pictures,01/02/14,DVD,3,
The Great Beauty (La Grande Bellezza),Paolo Sorrentino,2013,Italy,Italian,Janus Films,01/04/14,Theater,7,
No,Pablo Larrain,2012,Chile,Spanish,Sony Pictures Home Entertainment,12/24/13,DVD,6,
Differently Molussia (Autrement la Molussie),Nicolas Rey,2012,France,French,Unknown,12/19/13,Theater,8,
Persona,Ingmar Bergman,1966,Sweden,Swedish,MGM Home Entertainment,12/17/13,DVD,8,
Dallas Buyers Club,Jean-Marc Vallee,2013,USA,English,Focus Features,12/13/13,DVD,7,
Dark Habits,Pedro Almodovar,1983,Spain,Spanish,Wellspring,12/14/13,DVD,7,
Jawbreaker,Darren Stein,1999,USA,English,Unknown,12/11/13,DVD,6,
Behind The Candelabra,Steven Soderbergh,2013,USA,English,Home Box Office Home Video,12/11/13,Streaming,6,
From Dusk Til Dawn,Robert Rodriguez,1996,USA,English,Echo Bridge Home Entertainment,12/10/13,DVD,6,
Pulse,Kiyoshi Kurosawa,2001,Japan,Japanese,Magnolia Pictures,12/12/13,Streaming,6,
The Passion of Anna (En Passion),Ingmar Bergman,1969,Sweden,Swedish,Criterion Collection,12/11/13,Streaming,7,
The Third Generation (Die Dritte Generation),Rainer Werner Fassbinder,1975,Germany,German,Unknown,12/09/13,DVD,7,
Stranger by the Lake (LInconnu du lac),Alain Guiraudie,2013,France,French,Strand Releasing,12/07/13,DVD,8,
Like a Bird on a Wire (Wie ein Vogel auf Dem Draht),Rainer Werner Fassbinder,1975,Germany,German,Unknown,12/07/13,Streaming,8,
Castro Street (short),Bruce Baillie,1966,USA,English,Unknown,12/07/13,DVD,8,
Wings of Desire (Der Himmel uber Berlin),Wim Wenders,1987,"France, Germany",German,Criterion Collection,12/06/13,DVD,9,
Irma Vep,Olivier Assayas,1996,France,"French, English",Criterion Collection,12/04/13,DVD,8,
Animal Kingdom,David Michôd,2010,Australia,English,Sony Pictures Home Entertainment,12/01/13,DVD,5,
Youth of the Beast,Seijun Suzuki,1963,Japan,Japanese,Criterion Collection,11/29/13,DVD,8,First Suzuki film to have watched; yakuza film!
Class of 1984,Mark L. Lester,1982,USA,English,Anchor Bay Entertainment,04/26/13,DVD,7,
Ikiru,Akira Kurosawa,1952,Japan,Japanese,Criterion Collection,05/01/13,DVD,9,
Black Orpheus (Orfeu Negro),Marcel Camus,1959,Brazil,Portuguese,Criterion Collection,08/07/12,DVD,9,
Salo,Pier Paolo Pasolini,1975,Italy,Italian,Criterion Collection,08/05/12,DVD,8,
Cowards Bend The Knee,Guy Maddin,2004,Canada,English,Zeitgeist Films,06/12/12,DVD,7,
La Haine,Mathieu Kassovitz,1995,France,French,Criterion Collection,06/04/12,DVD,9,
Shame,Steve McQueen,2011,UK,English,20th Century Fox Home Entertainment,07/19/12,DVD,7,
Martyrs,Pascal Laugier,2008,France,French,The Weinstein Company,05/12/12,DVD,2,
Repulsion,Roman Polanski,1965,France,French,Criterion Collection,09/08/12,DVD,8,
Mysterious Skin,Gregg Araki,2004,USA,English,Strand Releasing,04/23/12,DVD,7,
Dr. Strangelove: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,"USA, UK",English,Columbia TriStar Home Video,04/08/12,DVD,8,
Live Flesh,Pedro Almodovar,1997,Spain,Spanish,MGM Home Entertainment,05/08/13,DVD,8,
Hold Me While Im Naked, George Kuchar,1966, USA,English,Unknown,01/16/14,Theater,8,Nobunnys song “I am a girlfriend” takes a sample from this film
The Devils Cleavage,George Kuchar,1973,USA,English,Canyon Cinema,01/16/14, Theater,8,
I Dream of Driftwood (short), Matthew Rankin,2006, Canada,English,Unknown,01/17/14, Streaming,8,
Light Is Calling (short), Bill Morrison,2009, USA,English,Unknown,01/17/14,Streaming,6,
Outer Space (short), Peter Tscherkassky,2000, Austria,English,Unknown,01/21/14, Streaming,9,White dot effect made with a pointer pen
A Touch of Sin (Tian zhu ding), Jia Zhangke,2013, China,Chinese,Koch Lorber Films,01/19/14, Theater,8,"Hyper-violent, multiple storylines. Started out with some violent humor, portrays Chinas current obsession with capitalism and greed"
House of Games,David Mamet,1987,USA,English,MGM/UA Home Entertainment,01/21/14,Streaming,6,"Over-the-top 80s crime caper, but kept me fairly entertained. Rough dialog, but the lead turns out to be pretty badass. Message of the movie: fuck everybody else, do what you want"
Untitled (Pink Dot) (short),Takeshi Murata,2007,USA,N/A,Unknown,01/21/14,Streaming,7,"Shown by Elisha, created defects in Rambo: First Blood and made image look as if it were melting"
The Perverts Guide To Ideology,Sophie Fiennes,2014,USA,English,Zeitgeist Films,01/26/14,Theater,7,
All About Eve,Joseph L. Mankiewicz,1950,USA,English,20th Century Fox Home Entertainment,01/26/14,Theater,9,"Loved the screenplay, amazing, zinging dialogue"
Running On Empty,Sidney Lumet,1988,USA,English,Warner Bros.,01/30/13,DVD,8,"Made me cry, ah River Phoenix"
